name	left R	right R	present	country	PCR check	lat	long
Mt-0					y	32.61	22.77
Yo-0	1354	5166	x	USA	y	37.75	-119.58
Knox10	1354	5166		USA	y	41.28	-86.62
Mv-0	1354	5166		USA		41.46	-70.60
Rrs-10	1354	5166		USA	y	41.56	-86.43
Tol-0	1354	5166		USA	y	41.67	-83.55
Bla-1.7015.mon-mpi	0	18580		Esp		41.68	2.79
RMX_A02					y	42.04	-86.51
Pna-17	1354	5166	x	USA	y	42.09	-86.33
Pna-10	1354	5166		USA	y	42.09	-86.33
Gre-0	1354	5166		USA	y	43.18	-85.25
Tul-0	1354	5166		USA	y	43.27	-85.26
QUI-8	0	18580		Fra		43.80	4.08
NOZ-6	1354	5166		Fra		43.96	4.04
Buckhorn_Pass.SALK	1354	5166		USA		44.48	-78.32
Ak-1	1344	5247		Ger	y	48.07	7.63
DIR-9	1354	5166		Fra		48.43	-4.31
Star-8	1344	5370	x	Ger		48.43	8.82
PLO-1	0	18580		Fra		48.46	-4.14
Nie1-2	1391	5292	x	Ger		48.52	8.80
En-2	1344	5247		Ger	y	50.00	8.50
Kro-0	1344	5233	x	Ger	y	50.07	8.97
Ob-0	1344	4843		Ger	y	50.20	8.58
Ca-0	1199	5634	x	Ger	y	50.30	8.27
Gu-0	1238	5596		Ger	y	50.30	8.00
Or-0	1344	6807		Ger		50.38	8.01
Nw-0	1464	5427		Ger	y	50.50	8.50
Do-0	1588	5240	x	Ger		50.72	8.24
Si-0	1464	4825		Ger	y	50.87	8.02
Mh-0	1344	5299		Pol	y	52.24	21.01
Ha-0	1530	5373		Ger	y	52.38	9.74
Col-0	0	18580	x	C-Europe	y	52.74	15.24
Ba-1	1540	5428	x	UK	y	54.60	-5.98
Ale-Stenar-64-24	1588	5240	x	Swe		55.3833	14.0500
Ws-2	1344	2822		Rus	y	59.94	30.26
Lom1-1	1572	5448	x	Swe		61.86	8.83
UKSE06-252	0	2908		Uk			
Roed-17-319	0	13570	x	Swe		62.8000	18.2000
Malii-1	0	18580		SRB			
Boo2	0	18580		Swe			
UKID114	0	18580		UK			
Ragl-1	1344	2822	x	UK	y		
Nz-1	1344	6807		Tanzania			
Gifu-2	1354	5166		Jap	y		
UKSW06-333	1354	5166		UK		50.3000	-4.9000
Dem4-SALK	1354	5166		USA		41.1876	-87.1923
MNF-Che-2	1354	5166		USA		43.5251	-86.1843
MNF-Pot-21	1354	5166		USA		43.5950	-86.2657
MNF-Pot-75	1354	5166		USA		43.5950	-86.2657
Mdn-1	1354	5166		USA		42.0510	-86.5090
Paw-26	1354	5166		USA		42.1480	-86.4310
SLSP-31	1354	5166		USA		43.6650	-86.4960
NC-6	1354	5166		USA			
Taal-07	1391	14821	x	Swe		62.6322	17.6906
T540	1588	4887	x	Swe		55.7967	13.1044
Ste-4	1588	5240	x	Swe		57.8009	18.5162
							
RMX3_22_8132_mon-mpi						42.0360	-86.5110
